,Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness
0,638,R,BU,296.0,BinarySearch,nan,True
2,750,R,BU,231.51572327044025,BinarySearch,Outlier,True
3,784,R,BU,438.0,BinarySearch,nan,True
4,829,R,BU,449.0,BinarySearch,nan,False
5,841,R,BU,123.0,BinarySearch,nan,True
6,857,R,BU,467.0,BinarySearch,nan,True
7,938,R,BU,575.0,BinarySearch,nan,True
8,643,R,BU,425.0,BubbleSort,nan,False
9,694,R,BU,154.0,BubbleSort,nan,False
10,704,R,BU,255.0,BubbleSort,nan,True
11,715,R,BU,255.0,BubbleSort,nan,True
12,733,R,BU,366.0,BubbleSort,nan,True
13,739,R,BU,313.0,BubbleSort,nan,False
14,748,R,BU,205.0,BubbleSort,nan,True
15,756,R,BU,256.0,BubbleSort,nan,True
16,757,R,BU,289.0,BubbleSort,nan,False
17,772,R,BU,82.0,BubbleSort,nan,False
18,780,R,BU,150.0,BubbleSort,nan,True
20,789,R,BU,296.0,BubbleSort,nan,False
21,801,R,BU,209.0,BubbleSort,nan,False
22,813,R,BU,198.0,BubbleSort,nan,True
23,815,R,BU,231.51572327044025,BubbleSort,Outlier,True
24,831,R,BU,110.0,BubbleSort,nan,True
25,832,R,BU,286.0,BubbleSort,nan,False
26,833,R,BU,124.0,BubbleSort,nan,False
27,854,R,BU,179.0,BubbleSort,nan,False
28,855,R,BU,362.0,BubbleSort,nan,False
29,875,R,BU,284.0,BubbleSort,nan,True
30,876,R,BU,202.0,BubbleSort,nan,False
31,900,R,BU,143.0,BubbleSort,nan,True
32,939,R,BU,257.0,BubbleSort,nan,True
33,945,R,BU,179.0,BubbleSort,nan,True
34,631,R,BU,191.0,Factorial,nan,True
35,699,R,BU,76.0,Factorial,nan,True
36,700,R,BU,90.0,Factorial,nan,False
37,716,R,BU,109.0,Factorial,nan,True
39,734,R,BU,30.0,Factorial,nan,True
40,737,R,BU,28.0,Factorial,nan,True
41,761,R,BU,202.0,Factorial,nan,True
42,767,R,BU,41.0,Factorial,nan,False
43,773,R,BU,74.0,Factorial,nan,True
44,774,R,BU,82.0,Factorial,nan,True
45,794,R,BU,15.0,Factorial,nan,True
46,799,R,BU,43.0,Factorial,nan,True
47,805,R,BU,117.0,Factorial,nan,True
48,817,R,BU,144.0,Factorial,nan,True
49,825,R,BU,87.0,Factorial,nan,True
50,828,R,BU,70.0,Factorial,nan,True
51,837,R,BU,39.0,Factorial,nan,True
53,852,R,BU,258.0,Factorial,nan,False
54,859,R,BU,55.0,Factorial,nan,True
55,860,R,BU,61.0,Factorial,nan,True
57,886,R,BU,90.0,Factorial,nan,True
58,894,R,BU,31.0,Factorial,nan,True
59,936,R,BU,78.0,Factorial,nan,True
60,946,R,BU,81.0,Factorial,nan,True
61,958,R,BU,25.0,Factorial,nan,True
62,653,R,BU,161.0,Fibonacci,nan,True
63,707,R,BU,52.0,Fibonacci,nan,True
64,717,R,BU,66.0,Fibonacci,nan,False
65,730,R,BU,184.0,Fibonacci,nan,True
66,735,R,BU,149.0,Fibonacci,nan,True
67,740,R,BU,145.0,Fibonacci,nan,True
68,744,R,BU,99.0,Fibonacci,nan,False
69,759,R,BU,311.0,Fibonacci,nan,False
70,762,R,BU,107.0,Fibonacci,nan,False
71,768,R,BU,85.0,Fibonacci,nan,False
72,782,R,BU,87.0,Fibonacci,nan,False
73,787,R,BU,267.0,Fibonacci,nan,False
74,793,R,BU,126.0,Fibonacci,nan,False
75,803,R,BU,65.0,Fibonacci,nan,True
76,804,R,BU,359.0,Fibonacci,nan,True
78,830,R,BU,113.0,Fibonacci,nan,False
79,834,R,BU,35.0,Fibonacci,nan,False
80,851,R,BU,50.0,Fibonacci,nan,True
81,853,R,BU,85.0,Fibonacci,nan,True
82,867,R,BU,73.0,Fibonacci,nan,True
83,880,R,BU,584.0,Fibonacci,nan,False
84,888,R,BU,314.0,Fibonacci,nan,True
85,898,R,BU,167.0,Fibonacci,nan,True
86,941,R,BU,436.0,Fibonacci,nan,False
88,653,R,BU,147.0,IntegerBinary,nan,True
90,730,R,BU,115.0,IntegerBinary,nan,False
91,735,R,BU,263.0,IntegerBinary,nan,True
92,744,R,BU,126.0,IntegerBinary,nan,True
93,759,R,BU,173.0,IntegerBinary,nan,False
94,762,R,BU,148.0,IntegerBinary,nan,False
95,803,R,BU,74.0,IntegerBinary,nan,True
96,830,R,BU,187.0,IntegerBinary,nan,False
97,834,R,BU,58.0,IntegerBinary,nan,False
98,853,R,BU,139.0,IntegerBinary,nan,False
99,880,R,BU,116.0,IntegerBinary,nan,False
100,888,R,BU,326.0,IntegerBinary,nan,True
101,941,R,BU,456.0,IntegerBinary,nan,True
103,694,R,BU,107.0,MultiplyMatrix,nan,False
104,704,R,BU,523.0,MultiplyMatrix,nan,True
105,739,R,BU,127.0,MultiplyMatrix,nan,False
106,757,R,BU,85.0,MultiplyMatrix,nan,False
108,813,R,BU,192.0,MultiplyMatrix,nan,False
109,832,R,BU,454.0,MultiplyMatrix,nan,True
110,854,R,BU,231.51572327044025,MultiplyMatrix,Outlier,False
111,855,R,BU,42.0,MultiplyMatrix,nan,False
112,875,R,BU,667.0,MultiplyMatrix,notNormal,True
113,876,R,BU,440.0,MultiplyMatrix,nan,False
114,939,R,BU,556.0,MultiplyMatrix,nan,True
115,631,R,BU,224.0,PrimeFactors,nan,False
116,699,R,BU,126.0,PrimeFactors,nan,False
117,700,R,BU,137.0,PrimeFactors,nan,False
119,760,R,BU,231.51572327044025,PrimeFactors,Outlier,False
120,761,R,BU,324.0,PrimeFactors,nan,False
121,799,R,BU,93.0,PrimeFactors,nan,False
122,828,R,BU,92.0,PrimeFactors,nan,False
123,837,R,BU,141.0,PrimeFactors,nan,True
125,852,R,BU,231.51572327044025,PrimeFactors,Outlier,False
126,859,R,BU,248.0,PrimeFactors,nan,False
127,860,R,BU,193.0,PrimeFactors,nan,False
128,886,R,BU,219.0,PrimeFactors,nan,True
